id       A1    A2    A3    
P1444    50       7        96       
P1445    89       47       37       
P1446    81       25       64       
P1447    23       52       30       
P1448    26       51       41       
P1449    18       27       40       
P1450    25       67       94       
P1451    96       58       19       
P1452    96       22       74       
P1453    73       90       18       
P1454    30       49       12       
P1455    87       36       94       
P1456    61       8        65       
P1457    25       36       16       
P1458    25       16       15       
P1459    35       24       60       
P1460    86       33       79       
P1461    27       52       81       
P1462    32       6        43       
P1463    20       48       62       
P1464    30       78       59       
P1465    64       48       22       
P1466    65       59       27       
P1467    77       99       89       
P1468    55       68       24       
P1469    53       78       71       
P1470    96       28       45       
P1471    34       4        81       
P1472    32       59       32       
P1473    59       11       35       
P1474    53       6        77       
P1475    99       38       89       
P1476    71       71       18       
P1477    43       46       81       
P1478    73       13       69       
P1479    35       97       52       
P1480    38       50       95       
P1481    4        76       36       
P1482    87       32       80       
P1483    18       73       3        
P1484    84       83       58       
P1485    64       16       41       
P1486    11       42       88       
P1487    6        25       34       
P1488    31       28       86       
P1489    49       43       69       
P1490    3        23       17       
P1491    77       11       6        
P1492    64       38       41       
P1493    77       42       82       
P1494    31       96       7        
P1495    57       87       61       
P1496    67       10       46       
P1497    45       55       75       
P1498    83       57       52       
P1499    45       94       41       
P1500    56       19       47       
P1501    38       17       12       
P1502    87       40       92       
P1503    24       38       99       
P1504    87       83       58       
P1505    16       32       84       
P1506    55       60       30       
P1507    24       16       24       
P1508    1        19       99       
P1509    83       98       98       
P1510    49       97       57       
P1511    20       77       94       
P1512    52       63       79       
P1513    24       85       62       
P1514    5        31       71       
P1515    88       26       37       
P1516    70       16       79       
P1517    54       73       52       
P1518    83       66       90       
P1519    37       15       38       
P1520    33       33       3        
P1521    57       53       68       
P1522    96       71       68       
P1523    69       75       13       
P1524    90       77       7        
P1525    80       78       26       
P1526    67       45       81       
P1527    85       79       14       
P1528    8        82       21       
P1529    58       76       34       
P1530    27       7        53       
P1531    83       97       89       
P1532    44       80       17       
P1533    52       27       71       
P1534    24       90       19       
P1535    12       91       63       
P1536    8        97       42       
P1537    58       46       28       
P1538    38       33       23       
P1539    46       89       94       
P1540    45       12       93       
P1541    44       46       52       
P1542    61       49       91       
P1543    75       96       9        
P1544    83       53       12       
P1545    53       21       91       
P1546    71       43       9        
P1547    76       78       2        
P1548    16       88       73       
P1549    98       89       3        
P1550    51       49       73       
P1551    45       15       17       
P1552    48       39       25       
P1553    25       89       17       
P1554    72       12       93       
P1555    47       81       25       
P1556    15       19       72       
P1557    49       81       85       
P1558    95       15       31       
P1559    41       100      66       
P1560    92       14       92       
P1561    22       95       20       
P1562    34       25       58       
P1563    49       68       69       
P1564    19       66       50       
P1565    30       61       9        
P1566    98       54       26       
P1567    71       57       81       
P1568    79       14       37       
P1569    15       88       32       
P1570    22       77       22       
P1571    67       22       15       
P1572    39       66       17       
P1573    81       94       10       
P1574    26       33       96       
P1575    31       10       61       
P1576    95       34       3        
P1577    91       45       19       
P1578    72       42       61       
P1579    80       28       65       
P1580    10       52       4        
P1581    10       45       6        
P1582    95       99       10       
P1583    62       45       76       
P1584    66       6        55       
P1585    50       13       87       
P1586    87       85       27       
P1587    19       4        10       
P1588    65       55       26       
P1589    84       9        54       
P1590    28       20       30       
P1591    13       22       33       
P1592    87       55       53       
P1593    50       43       8        
P1594    66       19       80       
P1595    61       96       30       
P1596    73       10       70       
P1597    45       40       100      
P1598    21       90       48       
P1599    60       34       100      
P1600    48       94       77       
P1601    90       11       75       
P1602    51       55       85       
P1603    53       34       48       
P1604    19       100      99       
P1605    41       50       78       
P1606    35       98       4        
P1607    60       3        74       
P1608    92       29       71       
P1609    15       93       93       
P1610    90       42       3        
P1611    58       68       42       
P1612    46       15       20       
P1613    40       79       21       
P1614    61       5        73       
P1615    7        77       31       
P1616    25       38       26       
P1617    86       91       78       
P1618    85       84       65       
P1619    5        12       17       
P1620    53       50       63       
P1621    37       40       31       
P1622    84       4        81       
P1623    40       13       51       
P1624    33       55       86       
P1625    4        93       95       
P1626    59       88       49       
P1627    5        8        31       
P1628    61       43       53       
P1629    89       97       18       
P1630    10       32       50       
P1631    87       24       29       
P1632    56       81       45       
P1633    44       19       10       
P1634    89       8        19       
P1635    38       90       75       
P1636    44       71       11       
P1637    65       78       79       
P1638    29       59       98       
P1639    36       67       20       
P1640    46       2        92       
P1641    72       40       5        
P1642    83       19       39       
P1643    60       79       1        
P1644    61       85       97       
P1645    8        89       84       
P1646    99       17       33       
P1647    60       27       1        
P1648    48       80       29       
P1649    51       79       71       
P1650    78       51       45       
P1651    10       74       1        
P1652    22       3        13       
P1653    27       37       7        
P1654    42       45       14       
P1655    54       96       23       
P1656    95       47       35       
P1657    10       69       44       
P1658    91       69       99       
P1659    95       5        80       
P1660    99       22       99       
P1661    22       23       37       
P1662    4        7        40       
P1663    2        45       48       
P1664    1        39       27       
P1665    83       39       20       
P1666    91       44       40       
P1667    76       81       47       
P1668    75       66       37       
P1669    13       39       37       
P1670    3        8        55       
P1671    76       17       30       
P1672    22       29       87       
P1673    98       51       28       
P1674    36       99       77       
P1675    36       8        99       
P1676    14       72       62       
P1677    80       50       67       
P1678    57       70       39       
P1679    66       54       84       
P1680    67       6        97       
P1681    9        98       34       
P1682    41       7        39       
P1683    20       97       2        
P1684    70       11       62       
P1685    35       24       18       
P1686    31       89       98       
P1687    60       9        78       
P1688    59       15       95       
P1689    48       94       37       
P1690    41       26       5        
P1691    49       25       49       
P1692    1        23       55       
P1693    24       54       75       
P1694    80       19       25       
P1695    11       34       25       
P1696    77       24       95       
P1697    29       48       22       
P1698    95       95       64       
P1699    26       7        9        
P1700    27       17       36       
P1701    16       51       100      
P1702    77       14       99       
P1703    67       55       21       
P1704    90       49       31       
P1705    85       57       82       
P1706    41       92       61       
P1707    32       56       87       
P1708    91       49       97       
P1709    79       18       58       
P1710    90       49       43       
P1711    69       80       90       
P1712    30       85       41       
P1713    46       28       82       
P1714    76       31       1        
P1715    8        6        1        
P1716    14       46       71       
P1717    5        65       8        
P1718    6        27       48       
P1719    50       22       56       
P1720    55       48       38       
P1721    16       41       58       
P1722    85       71       95       
P1723    89       35       79       
P1724    69       5        79       
P1725    22       98       58       
P1726    73       49       2        
P1727    86       95       48       
P1728    35       29       1        
P1729    41       18       71       
P1730    12       1        28       
P1731    84       57       51       
P1732    89       46       22       
P1733    20       12       24       
P1734    68       28       49       
P1735    55       63       17       
P1736    48       92       49       
P1737    42       76       86       
P1738    34       76       32       
P1739    18       66       82       
P1740    61       99       60       
P1741    12       81       1        
P1742    54       68       88       
P1743    84       48       36       
P1744    46       97       29       
P1745    68       29       88       
P1746    81       1        72       
P1747    10       48       68       
P1748    77       31       100      
P1749    61       40       1        
P1750    4        76       30       
P1751    67       49       9        
P1752    18       96       37       
P1753    84       61       100      
P1754    30       60       77       
P1755    54       37       37       
P1756    36       24       41       
P1757    57       7        68       
P1758    8        92       27       
P1759    56       60       76       
P1760    15       28       38       
P1761    36       24       64       
P1762    17       5        18       
P1763    17       74       91       
P1764    77       6        45       
P1765    83       81       49       
P1766    3        66       82       
P1767    76       59       34       
P1768    11       81       44       
P1769    16       61       89       
P1770    23       57       13       
P1771    72       42       54       
P1772    24       43       1        
P1773    28       47       44       
P1774    62       30       23       
P1775    39       73       34       
P1776    21       55       78       
P1777    34       40       91       
P1778    2        31       49       
P1779    10       39       53       
P1780    20       82       9        
P1781    99       57       41       
P1782    67       39       53       
P1783    95       28       81       
P1784    4        17       79       
P1785    47       43       26       
P1786    74       96       63       
P1787    59       67       51       
P1788    77       45       66       
P1789    29       1        75       
P1790    84       4        19       
P1791    28       21       62       
P1792    65       58       54       
P1793    85       19       25       
P1794    59       48       24       
P1795    63       15       64       
P1796    90       32       7        
P1797    30       18       19       
P1798    39       20       30       
P1799    11       13       91       
P1800    75       72       64       
P1801    39       91       86       
P1802    28       31       72       
P1803    13       29       93       
P1804    39       20       46       
P1805    94       73       91       
P1806    49       67       72       
P1807    35       25       91       
P1808    21       21       87       
P1809    73       18       20       
P1810    37       2        75       
P1811    21       72       4        
P1812    55       12       34       
P1813    30       89       32       
P1814    14       72       88       
P1815    4        36       51       
P1816    81       57       25       
P1817    86       79       69       
P1818    67       16       70       
P1819    10       1        82       
P1820    41       48       79       
P1821    74       69       89       
P1822    25       5        55       
P1823    87       94       22       
P1824    13       20       40       
P1825    72       23       13       
P1826    46       46       25       
P1827    61       23       59       
P1828    61       22       94       
P1829    13       51       10       
P1830    35       47       44       
P1831    47       38       46       
P1832    88       77       34       
P1833    84       16       66       
P1834    1        40       57       
P1835    60       86       82       
P1836    51       43       64       
P1837    36       65       66       
P1838    83       100      6        
P1839    20       30       57       
P1840    37       8        24       
P1841    76       82       98       
P1842    67       6        2        
P1843    73       31       27       
P1844    85       81       95       
P1845    7        79       50       
P1846    83       91       56       
P1847    15       94       64       
P1848    49       38       70       
P1849    67       5        93       
P1850    34       32       16       
P1851    42       60       9        
P1852    72       60       22       
P1853    43       69       49       
P1854    28       48       35       
P1855    88       43       92       
P1856    96       40       76       
P1857    41       31       64       
P1858    23       27       97       
P1859    79       18       66       
P1860    98       12       23       
P1861    63       32       2        
P1862    28       2        5        
P1863    53       46       33       
P1864    51       100      41       
P1865    62       41       100      
P1866    2        50       100      
P1867    51       2        98       
P1868    99       59       67       
P1869    64       5        2        
P1870    17       8        50       
P1871    5        1        66       
P1872    21       21       14       
P1873    75       5        18       
P1874    100      47       10       
P1875    16       22       92       
P1876    39       4        99       
P1877    50       79       7        
P1878    46       16       21       
P1879    75       64       68       
P1880    93       22       90       
P1881    100      76       17       
P1882    11       20       7        
P1883    94       16       24       
P1884    97       10       88       
P1885    49       87       91       
P1886    16       4        50       
P1887    76       40       39       
P1888    68       40       42       
P1889    81       68       15       
P1890    12       55       72       
P1891    85       57       56       
P1892    89       15       2        
P1893    61       34       95       
P1894    44       85       88       
P1895    45       69       72       
P1896    78       77       33       
P1897    25       77       49       
P1898    82       94       5        
P1899    57       4        76       
P1900    28       74       83       
P1901    55       76       1        
P1902    27       15       39       
P1903    11       90       15       
P1904    21       34       88       
P1905    50       23       7        
P1906    28       56       15       
P1907    60       95       59       
P1908    29       86       8        
P1909    3        5        35       
P1910    67       76       50       
P1911    53       31       75       
P1912    63       27       42       
P1913    49       89       82       
P1914    43       79       90       
P1915    100      39       31       
P1916    97       53       13       
P1917    52       6        98       
P1918    17       53       9        
P1919    39       88       93       
P1920    31       74       43       
P1921    15       2        18       
P1922    49       17       91       
P1923    7        64       77       
P1924    73       34       36       
P1925    47       71       37       
P1926    38       36       38       
P1927    2        47       17       
P1928    35       72       71       
P1929    37       90       12       
P1930    95       84       9        
P1931    34       41       96       
P1932    74       56       8        
P1933    77       50       40       
P1934    63       53       31       
P1935    93       93       51       
P1936    42       89       59       
P1937    73       71       2        
P1938    55       62       66       
P1939    90       38       62       
P1940    98       42       29       
P1941    37       73       22       
P1942    99       34       48       
P1943    88       58       56       
P1944    41       87       97       
P1945    32       55       67       
P1946    27       26       73       
P1947    91       28       95       
P1948    12       93       57       
P1949    28       6        72       
P1950    80       48       28       
P1951    92       73       80       
P1952    4        20       51       
P1953    67       8        56       
P1954    88       34       88       
P1955    33       85       90       
P1956    42       94       2        
P1957    97       29       84       
P1958    99       100      75       
P1959    44       80       38       
P1960    29       26       31       
P1961    87       77       66       
P1962    71       32       2        
P1963    6        20       42       
P1964    5        34       90       
P1965    66       63       35       
P1966    39       39       96       
P1967    68       34       48       
P1968    10       12       22       
P1969    25       54       70       
P1970    45       21       93       
P1971    63       14       15       
P1972    7        41       77       
P1973    45       3        20       
P1974    70       83       47       
P1975    69       67       1        
P1976    30       48       32       
P1977    79       15       84       
P1978    98       2        8        
P1979    51       88       7        
P1980    57       12       63       
P1981    33       80       40       
P1982    57       76       22       
P1983    4        37       57       
P1984    35       32       93       
P1985    98       11       26       
P1986    28       46       9        
P1987    19       6        14       
P1988    14       31       43       
P1989    35       51       20       
P1990    93       84       23       
P1991    56       52       93       
P1992    40       9        80       
P1993    2        73       71       
P1994    36       49       98       
P1995    84       17       71       
P1996    88       20       45       
P1997    89       19       15       
P1998    3        40       26       
P1999    32       73       60       
P2000    3        69       94       
P2001    97       36       36       
P2002    22       61       38       
P2003    33       79       65       
P2004    88       98       25       
P2005    27       52       2        
P2006    94       49       62       
P2007    63       57       36       
P2008    30       57       2        
P2009    97       49       47       
P2010    31       80       20       
P2011    64       17       3        
P2012    29       27       33       
P2013    82       2        50       
P2014    82       49       16       
P2015    46       69       55       
P2016    81       20       81       
P2017    62       2        39       
P2018    93       16       33       
P2019    13       43       9        
P2020    67       80       62       
P2021    24       49       74       
P2022    32       28       85       
P2023    62       66       23       
P2024    48       82       42       
P2025    82       8        62       
P2026    76       92       4        
P2027    38       49       1        
P2028    60       45       44       
P2029    64       39       26       
P2030    18       64       66       
P2031    79       22       4        
P2032    36       26       62       
P2033    34       65       96       
P2034    57       34       44       
P2035    14       70       72       
P2036    52       26       93       
P2037    11       15       38       
P2038    6        42       66       
P2039    60       87       50       
P2040    49       1        71       
P2041    62       37       97       
P2042    2        31       23       
P2043    58       51       31       
P2044    44       41       70       
P2045    36       38       26       
P2046    37       47       5        
P2047    70       77       60       
P2048    16       10       36       
P2049    69       87       76       
P2050    66       54       24       
P2051    47       51       72       
P2052    97       57       71       
P2053    82       64       80       
P2054    99       85       78       
P2055    49       4        43       
P2056    37       9        33       
P2057    24       19       99       
P2058    100      45       40       
P2059    71       95       87       
P2060    72       61       41       
P2061    25       6        50       
P2062    84       68       16       
P2063    64       28       68       
P2064    69       41       18       
P2065    91       72       69       
P2066    56       19       19       
P2067    60       38       45       
P2068    64       4        58       
P2069    69       16       81       
P2070    83       42       31       
P2071    96       71       46       
P2072    76       78       28       
P2073    91       18       24       
P2074    58       29       75       
P2075    9        28       92       
P2076    77       100      73       
P2077    51       2        23       
P2078    34       75       71       
P2079    45       82       34       
P2080    54       96       73       
P2081    87       35       68       
P2082    69       74       62       
P2083    1        2        25       
P2084    18       75       65       
P2085    23       90       95       
P2086    26       42       93       
P2087    6        40       12       
P2088    80       78       55       
P2089    2        25       63       
P2090    48       4        51       
P2091    11       55       82       
P2092    45       5        62       
P2093    85       36       81       
P2094    2        35       52       
P2095    5        97       99       
P2096    18       44       67       
P2097    32       45       3        
P2098    21       53       11       
P2099    33       67       47       
P2100    64       41       82       
P2101    76       51       67       
P2102    59       75       24       
P2103    24       95       10       
P2104    65       19       100      
P2105    91       33       28       
P2106    53       39       59       
P2107    81       7        65       
P2108    25       40       35       
P2109    27       60       3        
P2110    36       32       23       
P2111    39       70       22       
P2112    17       32       12       
P2113    34       33       40       
P2114    56       9        95       
P2115    31       93       58       
P2116    96       30       94       
P2117    87       69       55       
P2118    34       27       100      
P2119    92       88       81       
P2120    12       26       69       
P2121    10       71       2        
P2122    56       81       27       
P2123    26       6        60       
P2124    43       73       40       
P2125    87       41       84       
P2126    87       53       25       
P2127    38       55       27       
P2128    83       5        60       
P2129    65       86       75       
P2130    73       96       13       
P2131    8        54       94       
P2132    55       60       65       
P2133    9        28       13       
P2134    77       51       34       
P2135    51       37       12       
P2136    10       48       8        
P2137    66       81       77       
P2138    89       61       67       
P2139    66       69       15       
P2140    39       58       53       
P2141    87       7        81       
P2142    67       2        32       
P2143    23       41       63       
P2144    95       52       2        
P2145    80       83       3        
P2146    56       59       39       
P2147    65       55       71       
P2148    35       93       8        
P2149    92       39       37       
P2150    50       37       64       
P2151    32       90       51       
P2152    4        11       81       
P2153    8        57       23       
P2154    60       23       22       
P2155    76       16       8        
P2156    1        64       28       
P2157    64       93       52       
P2158    68       90       24       
P2159    72       44       94       
P2160    33       71       6        
P2161    90       37       9        
P2162    57       35       11       
P2163    28       94       98       
P2164    6        26       85       
P2165    24       59       41       
P2166    30       73       41       
P2167    6        87       61       
P2168    98       29       27       
P2169    81       7        13       
P2170    60       35       63       
P2171    84       96       72       
P2172    45       53       13       
P2173    36       12       77       
P2174    96       90       28       
P2175    18       17       75       
P2176    71       31       38       
P2177    81       94       38       
P2178    29       3        39       
P2179    63       48       58       
P2180    28       57       96       
P2181    56       46       71       
P2182    98       50       48       
P2183    93       7        78       
P2184    86       54       22       
P2185    2        94       38       
P2186    52       7        62       
P2187    97       99       38       
P2188    44       91       24       
P2189    97       16       3        
P2190    40       59       64       
P2191    67       98       93       
P2192    10       30       51       
P2193    56       98       28       
P2194    79       76       91       
P2195    39       88       44       
P2196    49       51       73       
P2197    5        1        61       
P2198    41       14       84       
P2199    93       66       12       
P2200    93       73       29       
P2201    14       43       59       
P2202    84       89       75       
P2203    75       76       10       
P2204    36       10       92       
P2205    18       37       19       
P2206    54       95       12       
P2207    15       21       92       
P2208    81       29       73       
P2209    91       30       68       
P2210    100      91       86       
P2211    53       17       53       
P2212    63       1        51       
P2213    68       17       39       
P2214    23       84       42       
P2215    72       91       98       
P2216    93       76       85       
P2217    66       23       76       
P2218    24       77       69       
P2219    37       97       75       
P2220    80       45       45       
P2221    48       59       27       
P2222    55       59       95       
P2223    90       18       59       
P2224    88       97       50       
P2225    70       59       21       
P2226    8        97       76       
P2227    100      27       43       
P2228    39       82       17       
P2229    7        96       7        
P2230    75       8        52       
P2231    47       22       7        
P2232    43       66       75       
P2233    19       100      1        
P2234    2        50       40       
P2235    75       20       96       
P2236    91       85       10       
P2237    33       16       99       
P2238    38       65       19       
P2239    95       29       91       
P2240    26       29       66       
P2241    12       54       58       
P2242    39       49       32       
P2243    72       22       79       
P2244    24       38       83       
P2245    60       53       91       
P2246    37       3        7        
P2247    36       42       2        
P2248    22       87       33       
P2249    31       72       45       
P2250    87       29       70       
P2251    48       6        89       
P2252    53       91       27       
P2253    73       80       58       
P2254    70       78       78       
P2255    33       60       6        
P2256    98       74       49       
P2257    13       10       51       
P2258    4        75       94       
P2259    14       72       47       
P2260    41       71       72       
P2261    48       6        40       
P2262    99       25       85       
P2263    57       51       28       
P2264    41       7        5        
P2265    32       95       95       
P2266    38       55       73       
P2267    24       88       7        
P2268    28       45       35       
P2269    17       63       90       
P2270    43       96       91       
P2271    6        52       60       
P2272    40       45       61       
P2273    39       71       28       
P2274    46       18       65       
P2275    86       77       77       
P2276    94       75       53       
P2277    40       20       37       
P2278    82       97       78       
P2279    62       36       87       
P2280    23       84       46       
P2281    2        89       100      
P2282    99       26       66       
P2283    7        97       95       
P2284    26       52       86       
P2285    10       5        10       
P2286    72       41       100      
P2287    17       84       28       
P2288    64       80       44       
P2289    63       35       30       
P2290    26       58       25       
P2291    19       54       73       
P2292    39       91       64       
P2293    74       10       65       
P2294    74       48       42       
P2295    50       41       76       
P2296    29       68       69       
P2297    23       32       90       
P2298    16       8        25       
P2299    82       93       18       
P2300    68       10       55       
P2301    89       76       10       
P2302    73       69       13       
P2303    2        96       91       
P2304    57       36       23       
P2305    28       8        81       
P2306    47       45       97       
P2307    20       88       53       
P2308    42       81       53       
P2309    19       63       15       
P2310    40       56       52       
P2311    73       53       1        
P2312    50       64       49       
P2313    18       25       46       
P2314    22       13       31       
P2315    24       6        6        
P2316    95       37       86       
P2317    13       69       34       
P2318    10       70       23       
P2319    86       18       90       
P2320    46       59       83       
P2321    74       92       76       
P2322    68       53       53       
P2323    66       61       96       
P2324    100      62       3        
P2325    90       32       96       
P2326    38       70       36       
P2327    2        7        83       
P2328    73       29       49       
P2329    70       74       74       
P2330    40       5        90       
P2331    33       82       69       
P2332    7        49       13       
P2333    86       94       44       
P2334    49       19       12       
P2335    90       67       47       
P2336    16       94       80       
P2337    8        70       81       
P2338    77       80       100      
P2339    14       19       73       
P2340    20       63       23       
P2341    94       79       31       
P2342    55       3        93       
P2343    94       84       52       
P2344    69       21       13       
P2345    27       40       46       
P2346    17       22       47       
P2347    84       46       72       
P2348    26       13       54       
P2349    99       16       37       
P2350    63       15       52       
P2351    59       66       44       
P2352    13       63       23       
P2353    22       91       42       
P2354    45       26       38       
P2355    19       62       48       
P2356    49       79       66       
P2357    7        44       3        
P2358    82       82       83       
P2359    95       51       73       
P2360    87       62       41       
P2361    5        22       38       
P2362    38       97       31       
P2363    58       55       16       
P2364    80       70       27       
P2365    84       33       84       
P2366    82       46       94       
P2367    28       82       33       
P2368    81       67       94       
P2369    70       9        77       
P2370    32       97       91       
P2371    81       13       5        
P2372    47       66       90       
P2373    41       99       11       
P2374    18       91       32       
P2375    29       59       31       
P2376    2        13       7        
P2377    49       96       49       
P2378    33       65       48       
P2379    83       64       24       
P2380    77       97       16       
P2381    80       74       29       
P2382    71       80       30       
P2383    73       51       70       
P2384    95       56       72       
P2385    29       84       23       
P2386    48       47       13       
P2387    50       48       77       
P2388    93       67       22       
P2389    43       79       1        
P2390    51       44       10       
P2391    6        100      65       
P2392    9        55       12       
P2393    26       28       10       
P2394    53       65       1        
P2395    19       81       72       
P2396    32       16       96       
P2397    3        82       46       
P2398    33       62       64       
P2399    88       85       93       
P2400    92       23       39       
P2401    14       12       5        
P2402    27       45       37       
P2403    95       58       51       
P2404    48       30       56       
P2405    52       31       57       
P2406    13       34       78       
P2407    25       16       36       
P2408    84       79       6        
P2409    61       71       18       
P2410    88       62       92       
P2411    34       77       6        
P2412    20       61       10       
P2413    91       12       21       
P2414    31       47       90       
P2415    59       3        39       
P2416    30       34       57       
P2417    81       61       97       
P2418    35       73       41       
P2419    39       31       88       
P2420    78       65       97       
P2421    24       95       5        
P2422    95       12       90       
P2423    42       65       92       
P2424    43       32       10       
P2425    63       7        23       
P2426    15       1        58       
P2427    45       19       100      
P2428    94       16       3        
P2429    51       11       66       
P2430    13       84       45       
P2431    35       88       7        
P2432    93       54       79       
P2433    36       1        72       
P2434    96       12       61       
P2435    2        47       13       
P2436    70       41       15       
P2437    83       79       39       
P2438    57       86       19       
P2439    10       25       17       
P2440    76       18       15       
P2441    78       37       26       
P2442    27       20       18       
P2443    87       20       98       
P2444    65       59       86       
P2445    70       68       61       
P2446    18       54       52       
P2447    42       53       32       
P2448    57       36       22       
P2449    69       28       24       
P2450    4        4        46       
P2451    90       96       68       
P2452    18       97       56       
P2453    91       34       61       
P2454    14       59       30       
P2455    56       3        90       
P2456    39       53       32       
P2457    75       56       25       
P2458    50       33       52       
P2459    60       54       36       
P2460    55       33       65       
P2461    35       74       45       
P2462    6        91       50       
P2463    89       87       23       
P2464    73       52       41       
P2465    5        97       14       
P2466    49       5        45       
P2467    24       79       58       
P2468    79       82       1        
P2469    45       99       87       
P2470    77       27       83       
P2471    49       92       15       
P2472    16       8        33       
P2473    80       87       41       
P2474    38       56       2        
P2475    95       49       41       
P2476    82       58       22       
P2477    39       20       60       
P2478    77       25       7        
P2479    57       92       49       
P2480    72       68       96       
P2481    13       61       5        
P2482    17       87       8        
P2483    39       7        45       
P2484    25       29       63       
P2485    48       87       16       
P2486    67       20       39       
P2487    67       75       59       
P2488    54       35       9        
P2489    74       51       39       
P2490    20       56       14       
P2491    57       1        36       
P2492    95       16       11       
P2493    92       46       37       
P2494    81       52       75       
P2495    69       50       44       
P2496    94       89       57       
P2497    96       95       1        
P2498    95       34       53       
P2499    11       63       83       
P2500    56       15       40       
P2501    15       92       96       
P2502    70       39       57       
P2503    42       6        33       
P2504    73       91       96       
P2505    55       25       38       
P2506    44       94       25       
P2507    11       13       98       
P2508    11       32       31       
P2509    19       31       68       
P2510    79       30       17       
P2511    25       61       26       
P2512    43       94       30       
P2513    22       53       75       
P2514    68       91       31       
P2515    14       31       8        
P2516    4        2        45       
P2517    50       94       5        
P2518    50       7        85       
P2519    52       63       51       
P2520    97       68       5        
P2521    25       3        22       
P2522    11       80       19       
P2523    34       1        65       
P2524    14       4        59       
P2525    6        51       15       
P2526    78       9        87       
P2527    36       77       31       
P2528    38       69       20       
P2529    49       21       54       
P2530    58       73       95       
P2531    81       6        94       
P2532    96       80       61       
P2533    77       41       13       
P2534    79       84       45       
P2535    32       92       41       
P2536    28       61       65       
P2537    16       59       61       
P2538    35       66       29       
P2539    29       91       62       
P2540    86       41       49       
P2541    58       77       40       
P2542    52       39       83       
P2543    22       61       66       
P2544    99       64       32       
P2545    75       12       63       
P2546    82       32       24       
P2547    75       8        24       
P2548    7        7        12       
P2549    26       59       18       
P2550    40       60       48       
P2551    38       100      21       
P2552    35       85       73       
P2553    59       17       17       
P2554    36       55       97       
P2555    9        28       6        
P2556    63       82       94       
P2557    60       53       16       
P2558    35       32       87       
P2559    89       36       76       
P2560    20       24       9        
P2561    89       27       4        
P2562    86       79       56       
P2563    56       96       61       
P2564    89       23       61       
P2565    47       69       80       
P2566    96       73       93       
P2567    8        20       13       
P2568    8        13       63       
P2569    54       68       91       
P2570    42       100      76       
P2571    50       88       59       
P2572    53       39       88       
P2573    91       54       36       
P2574    81       71       92       
P2575    98       6        3        
P2576    66       11       7        
P2577    92       62       1        
P2578    63       62       1        
P2579    70       90       33       
P2580    82       21       67       
P2581    8        15       2        
P2582    88       80       67       
P2583    31       26       62       
P2584    8        58       9        
P2585    32       73       93       
P2586    95       26       72       
P2587    4        85       11       
P2588    91       33       64       
P2589    32       56       10       
P2590    94       72       63       
P2591    36       18       39       
P2592    100      90       61       
P2593    75       87       20       
P2594    55       60       33       
P2595    38       54       99       
P2596    16       65       46       
P2597    64       6        28       
P2598    50       6        99       
P2599    61       6        2        
P2600    17       75       86       
P2601    33       9        27       
P2602    64       51       1        
P2603    99       51       95       
P2604    76       31       80       
P2605    11       66       76       
P2606    74       46       78       
P2607    84       21       43       
P2608    78       15       30       
P2609    90       50       68       
P2610    83       65       56       
P2611    35       74       7        
P2612    4        71       9        
P2613    76       16       37       
P2614    98       14       11       
P2615    31       45       50       
P2616    8        3        11       
P2617    88       22       97       
P2618    52       72       94       
P2619    16       62       73       
P2620    65       2        97       
P2621    100      89       63       
P2622    91       42       19       
P2623    99       69       43       
P2624    82       27       23       
P2625    59       59       57       
P2626    17       39       69       
P2627    77       39       29       
P2628    28       96       25       
P2629    74       71       57       
P2630    56       68       99       
P2631    95       56       48       
P2632    55       22       71       
P2633    34       46       26       
P2634    55       68       80       
P2635    58       40       50       
P2636    96       75       41       
P2637    23       46       28       
P2638    49       89       9        
P2639    42       66       30       
P2640    38       4        50       
P2641    55       97       68       
P2642    10       24       96       
P2643    70       52       59       
P2644    93       23       52       
P2645    70       60       70       
P2646    95       46       11       
P2647    91       77       69       
P2648    39       9        85       
P2649    72       85       30       
P2650    59       63       53       
P2651    90       35       39       
P2652    86       4        81       
P2653    21       94       13       
P2654    13       45       98       
P2655    91       87       58       
P2656    31       67       7        
P2657    73       68       64       
P2658    16       57       96       
P2659    87       36       54       
P2660    15       24       2        
